0,1,2,3,4,5,6,7,8
"{'tileId': 43345193, 'score': 99, 'time': '2019-03-25T00:00'}","{'tileId': 43354504, 'score': 68, 'time': '2019-03-25T00:00'}","{'tileId': 43354505, 'score': 90, 'time': '2019-03-25T00:00'}","{'tileId': 43363816, 'score': 46, 'time': '2019-03-25T00:00'}","{'tileId': 43363817, 'score': 49, 'time': '2019-03-25T00:00'}","{'tileId': 43363818, 'score': 61, 'time': '2019-03-25T00:00'}","{'tileId': 43373130, 'score': 26, 'time': '2019-03-25T00:00'}","{'tileId': 43373131, 'score': 35, 'time': '2019-03-25T00:00'}","{'tileId': 43382445, 'score': 22, 'time': '2019-03-25T00:00'}"
"{'tileId': 43345193, 'score': 135, 'time': '2019-03-25T01:00'}","{'tileId': 43354504, 'score': 95, 'time': '2019-03-25T01:00'}","{'tileId': 43354505, 'score': 121, 'time': '2019-03-25T01:00'}","{'tileId': 43363816, 'score': 64, 'time': '2019-03-25T01:00'}","{'tileId': 43363817, 'score': 68, 'time': '2019-03-25T01:00'}","{'tileId': 43363818, 'score': 82, 'time': '2019-03-25T01:00'}","{'tileId': 43373130, 'score': 38, 'time': '2019-03-25T01:00'}","{'tileId': 43373131, 'score': 47, 'time': '2019-03-25T01:00'}","{'tileId': 43382445, 'score': 31, 'time': '2019-03-25T01:00'}"
"{'tileId': 43345193, 'score': 140, 'time': '2019-03-25T02:00'}","{'tileId': 43354504, 'score': 99, 'time': '2019-03-25T02:00'}","{'tileId': 43354505, 'score': 126, 'time': '2019-03-25T02:00'}","{'tileId': 43363816, 'score': 67, 'time': '2019-03-25T02:00'}","{'tileId': 43363817, 'score': 70, 'time': '2019-03-25T02:00'}","{'tileId': 43363818, 'score': 85, 'time': '2019-03-25T02:00'}","{'tileId': 43373130, 'score': 39, 'time': '2019-03-25T02:00'}","{'tileId': 43373131, 'score': 48, 'time': '2019-03-25T02:00'}","{'tileId': 43382445, 'score': 32, 'time': '2019-03-25T02:00'}"
"{'tileId': 43345193, 'score': 139, 'time': '2019-03-25T03:00'}","{'tileId': 43354504, 'score': 98, 'time': '2019-03-25T03:00'}","{'tileId': 43354505, 'score': 126, 'time': '2019-03-25T03:00'}","{'tileId': 43363816, 'score': 67, 'time': '2019-03-25T03:00'}","{'tileId': 43363817, 'score': 70, 'time': '2019-03-25T03:00'}","{'tileId': 43363818, 'score': 85, 'time': '2019-03-25T03:00'}","{'tileId': 43373130, 'score': 40, 'time': '2019-03-25T03:00'}","{'tileId': 43373131, 'score': 49, 'time': '2019-03-25T03:00'}","{'tileId': 43382445, 'score': 33, 'time': '2019-03-25T03:00'}"
"{'tileId': 43345193, 'score': 140, 'time': '2019-03-25T04:00'}","{'tileId': 43354504, 'score': 99, 'time': '2019-03-25T04:00'}","{'tileId': 43354505, 'score': 127, 'time': '2019-03-25T04:00'}","{'tileId': 43363816, 'score': 67, 'time': '2019-03-25T04:00'}","{'tileId': 43363817, 'score': 70, 'time': '2019-03-25T04:00'}","{'tileId': 43363818, 'score': 86, 'time': '2019-03-25T04:00'}","{'tileId': 43373130, 'score': 40, 'time': '2019-03-25T04:00'}","{'tileId': 43373131, 'score': 49, 'time': '2019-03-25T04:00'}","{'tileId': 43382445, 'score': 33, 'time': '2019-03-25T04:00'}"
"{'tileId': 43345193, 'score': 141, 'time': '2019-03-25T05:00'}","{'tileId': 43354504, 'score': 99, 'time': '2019-03-25T05:00'}","{'tileId': 43354505, 'score': 127, 'time': '2019-03-25T05:00'}","{'tileId': 43363816, 'score': 68, 'time': '2019-03-25T05:00'}","{'tileId': 43363817, 'score': 71, 'time': '2019-03-25T05:00'}","{'tileId': 43363818, 'score': 86, 'time': '2019-03-25T05:00'}","{'tileId': 43373130, 'score': 41, 'time': '2019-03-25T05:00'}","{'tileId': 43373131, 'score': 49, 'time': '2019-03-25T05:00'}","{'tileId': 43382445, 'score': 33, 'time': '2019-03-25T05:00'}"
"{'tileId': 43345193, 'score': 143, 'time': '2019-03-25T06:00'}","{'tileId': 43354504, 'score': 104, 'time': '2019-03-25T06:00'}","{'tileId': 43354505, 'score': 129, 'time': '2019-03-25T06:00'}","{'tileId': 43363816, 'score': 76, 'time': '2019-03-25T06:00'}","{'tileId': 43363817, 'score': 75, 'time': '2019-03-25T06:00'}","{'tileId': 43363818, 'score': 88, 'time': '2019-03-25T06:00'}","{'tileId': 43373130, 'score': 47, 'time': '2019-03-25T06:00'}","{'tileId': 43373131, 'score': 53, 'time': '2019-03-25T06:00'}","{'tileId': 43382445, 'score': 39, 'time': '2019-03-25T06:00'}"
"{'tileId': 43345193, 'score': 149, 'time': '2019-03-25T07:00'}","{'tileId': 43354504, 'score': 125, 'time': '2019-03-25T07:00'}","{'tileId': 43354505, 'score': 137, 'time': '2019-03-25T07:00'}","{'tileId': 43363816, 'score': 111, 'time': '2019-03-25T07:00'}","{'tileId': 43363817, 'score': 95, 'time': '2019-03-25T07:00'}","{'tileId': 43363818, 'score': 96, 'time': '2019-03-25T07:00'}","{'tileId': 43373130, 'score': 71, 'time': '2019-03-25T07:00'}","{'tileId': 43373131, 'score': 63, 'time': '2019-03-25T07:00'}","{'tileId': 43382445, 'score': 52, 'time': '2019-03-25T07:00'}"
"{'tileId': 43345193, 'score': 152, 'time': '2019-03-25T08:00'}","{'tileId': 43354504, 'score': 142, 'time': '2019-03-25T08:00'}","{'tileId': 43354505, 'score': 144, 'time': '2019-03-25T08:00'}","{'tileId': 43363816, 'score': 163, 'time': '2019-03-25T08:00'}","{'tileId': 43363817, 'score': 113, 'time': '2019-03-25T08:00'}","{'tileId': 43363818, 'score': 110, 'time': '2019-03-25T08:00'}","{'tileId': 43373130, 'score': 103, 'time': '2019-03-25T08:00'}","{'tileId': 43373131, 'score': 81, 'time': '2019-03-25T08:00'}","{'tileId': 43382445, 'score': 73, 'time': '2019-03-25T08:00'}"
"{'tileId': 43345193, 'score': 163, 'time': '2019-03-25T09:00'}","{'tileId': 43354504, 'score': 153, 'time': '2019-03-25T09:00'}","{'tileId': 43354505, 'score': 155, 'time': '2019-03-25T09:00'}","{'tileId': 43363816, 'score': 184, 'time': '2019-03-25T09:00'}","{'tileId': 43363817, 'score': 128, 'time': '2019-03-25T09:00'}","{'tileId': 43363818, 'score': 120, 'time': '2019-03-25T09:00'}","{'tileId': 43373130, 'score': 120, 'time': '2019-03-25T09:00'}","{'tileId': 43373131, 'score': 94, 'time': '2019-03-25T09:00'}","{'tileId': 43382445, 'score': 87, 'time': '2019-03-25T09:00'}"
