Date;Total;Incomming;InArea
2019-03-25T00:00:00;5727;946;1703
2019-03-25T01:00:00;2298;545;721
2019-03-25T02:00:00;1686;326;535
2019-03-25T03:00:00;2110;524;539
2019-03-25T04:00:00;4277;1385;709
2019-03-25T05:00:00;21081;8050;1956
2019-03-25T06:00:00;79798;35296;6890
2019-03-25T07:00:00;150875;69998;20865
2019-03-25T08:00:00;129122;57199;26612
2019-03-25T09:00:00;81222;28469;21454
2019-03-25T10:00:00;71102;19515;20678
2019-03-25T11:00:00;85639;18998;33230
2019-03-25T12:00:00;98786;19628;44338
2019-03-25T13:00:00;92065;19994;35209
2019-03-25T14:00:00;78999;16367;23856
2019-03-25T15:00:00;90292;15720;23900
2019-03-25T16:00:00;124162;18979;25846
2019-03-25T17:00:00;157415;27150;32865
2019-03-25T18:00:00;119882;24072;29790
2019-03-25T19:00:00;72628;14341;20055
2019-03-25T20:00:00;48049;8257;13158
2019-03-25T21:00:00;36614;5961;10400
2019-03-25T22:00:00;28777;5124;7232
2019-03-25T23:00:00;11645;2630;3608
2019-03-26T00:00:00;6688;947;2138
2019-03-26T01:00:00;2562;520;758
2019-03-26T02:00:00;1973;389;570
2019-03-26T03:00:00;2288;547;543
2019-03-26T04:00:00;4410;1393;756
2019-03-26T05:00:00;21240;8417;1989
2019-03-26T06:00:00;85093;37479;7721
2019-03-26T07:00:00;162775;76176;23823
2019-03-26T08:00:00;140572;61885;30417
2019-03-26T09:00:00;93907;34411;25754
2019-03-26T10:00:00;86996;24362;27420
2019-03-26T11:00:00;108195;23632;45153
2019-03-26T12:00:00;122597;23611;58891
2019-03-26T13:00:00;115013;24305;48548
2019-03-26T14:00:00;96579;19487;32701
2019-03-26T15:00:00;111963;19289;32343
2019-03-26T16:00:00;152554;23518;35176
2019-03-26T17:00:00;195382;33473;44890
2019-03-26T18:00:00;153867;30795;40656
2019-03-26T19:00:00;94833;17543;28780
2019-03-26T20:00:00;64267;10374;18836
2019-03-26T21:00:00;52123;7857;15288
2019-03-26T22:00:00;38653;5835;11360
2019-03-26T23:00:00;19616;4763;6235
2019-03-27T00:00:00;11935;1443;3592
2019-03-27T01:00:00;3548;662;1252
2019-03-27T02:00:00;2340;395;778
2019-03-27T03:00:00;2785;606;778
2019-03-27T04:00:00;5000;1622;884
2019-03-27T05:00:00;24283;9758;2581
2019-03-27T06:00:00;99773;44505;9397
2019-03-27T07:00:00;184673;85357;28459
2019-03-27T08:00:00;154051;66772;35931
2019-03-27T09:00:00;100976;34593;29323
2019-03-27T10:00:00;88849;23912;27863
2019-03-27T11:00:00;114189;25325;46998
2019-03-27T12:00:00;129826;25065;60807
2019-03-27T13:00:00;122598;25826;50570
2019-03-27T14:00:00;103486;21843;34622
2019-03-27T15:00:00;115631;21016;32968
2019-03-27T16:00:00;153436;23836;36948
2019-03-27T17:00:00;195958;33786;49113
2019-03-27T18:00:00;155940;31584;42410
2019-03-27T19:00:00;99915;19057;29855
2019-03-27T20:00:00;68489;11000;19981
2019-03-27T21:00:00;56873;8230;16906
2019-03-27T22:00:00;42538;6432;12479
2019-03-27T23:00:00;22157;4787;7328
2019-03-28T00:00:00;12312;1417;4228
2019-03-28T01:00:00;3935;679;1499
2019-03-28T02:00:00;2848;504;1008
2019-03-28T03:00:00;2929;660;859
2019-03-28T04:00:00;5481;1649;1050
2019-03-28T05:00:00;24661;9657;2630
2019-03-28T06:00:00;99170;44105;9552
2019-03-28T07:00:00;186909;85694;28595
2019-03-28T08:00:00;160197;69730;37052
2019-03-28T09:00:00;102949;35498;29981
2019-03-28T10:00:00;90996;24297;29920
2019-03-28T11:00:00;114302;24868;47937
2019-03-28T12:00:00;129724;24509;62269
2019-03-28T13:00:00;122317;25455;51865
2019-03-28T14:00:00;102347;20537;35095
2019-03-28T15:00:00;116705;20747;33787
2019-03-28T16:00:00;156349;25425;36477
2019-03-28T17:00:00;186704;33305;41732
2019-03-28T18:00:00;147848;31814;38546
2019-03-28T19:00:00;96088;18530;28496
2019-03-28T20:00:00;68340;10729;20490
2019-03-28T21:00:00;58292;8894;16692
2019-03-28T22:00:00;48040;7507;13337
2019-03-28T23:00:00;24622;5045;8435
2019-03-29T00:00:00;14348;1593;5223
2019-03-29T01:00:00;5191;792;2068
2019-03-29T02:00:00;3562;547;1356
2019-03-29T03:00:00;3600;625;1231
