Date;Total;Incoming;Innside
2020-03-23T00:00:00;4425;744;1493
2020-03-23T01:00:00;1789;423;667
2020-03-23T02:00:00;1458;299;501
2020-03-23T03:00:00;1769;490;547
2020-03-23T04:00:00;4138;1398;717
2020-03-23T05:00:00;16080;6460;1769
2020-03-23T06:00:00;51039;23499;5298
2020-03-23T07:00:00;67213;28757;11968
2020-03-23T08:00:00;52930;18518;14141
2020-03-23T09:00:00;43303;11472;13409
2020-03-23T10:00:00;42896;9860;13157
2020-03-23T11:00:00;44995;8432;15455
2020-03-23T12:00:00;50402;9269;18775
2020-03-23T13:00:00;50794;10481;16924
2020-03-23T14:00:00;48953;8861;14985
2020-03-23T15:00:00;55108;8591;15828
2020-03-23T16:00:00;67067;9694;16541
2020-03-23T17:00:00;71362;10867;17896
2020-03-23T18:00:00;52331;8321;15298
2020-03-23T19:00:00;29989;5303;9430
2020-03-23T20:00:00;19170;3515;5870
2020-03-23T21:00:00;13585;2616;4481
2020-03-23T22:00:00;9729;1825;3120
2020-03-23T23:00:00;5917;1495;1979
2020-03-24T00:00:00;4425;677;1508
2020-03-24T01:00:00;1754;435;571
2020-03-24T02:00:00;1555;317;468
2020-03-24T03:00:00;1867;534;453
2020-03-24T04:00:00;3838;1260;753
2020-03-24T05:00:00;15342;6128;1649
2020-03-24T06:00:00;49160;22668;5149
2020-03-24T07:00:00;64160;27952;11219
2020-03-24T08:00:00;50468;17318;13853
2020-03-24T09:00:00;43664;11585;13316
2020-03-24T10:00:00;42185;9388;13414
2020-03-24T11:00:00;46027;8659;15793
2020-03-24T12:00:00;52299;9684;19618
2020-03-24T13:00:00;51737;10737;16940
2020-03-24T14:00:00;49834;8772;15283
2020-03-24T15:00:00;55715;8978;15740
2020-03-24T16:00:00;67545;10070;16141
2020-03-24T17:00:00;71404;10921;18073
2020-03-24T18:00:00;51211;8696;15006
2020-03-24T19:00:00;29734;5301;9245
2020-03-24T20:00:00;19602;3457;6013
2020-03-24T21:00:00;14029;2626;4457
2020-03-24T22:00:00;9862;1880;3167
2020-03-24T23:00:00;6343;1475;2116
2020-03-25T00:00:00;4412;746;1452
2020-03-25T01:00:00;2129;488;641
2020-03-25T02:00:00;1476;283;469
2020-03-25T03:00:00;1866;508;487
2020-03-25T04:00:00;3700;1221;662
2020-03-25T05:00:00;14870;5875;1668
2020-03-25T06:00:00;47925;22104;4974
2020-03-25T07:00:00;61726;26449;11057
2020-03-25T08:00:00;50716;17367;14078
2020-03-25T09:00:00;43489;11411;13373
2020-03-25T10:00:00;43234;9319;13778
2020-03-25T11:00:00;47403;8794;16251
2020-03-25T12:00:00;53574;9727;20239
2020-03-25T13:00:00;53509;10817;17592
2020-03-25T14:00:00;51705;9294;16080
2020-03-25T15:00:00;56223;8904;15625
2020-03-25T16:00:00;66852;9822;16381
2020-03-25T17:00:00;68564;10637;17111
2020-03-25T18:00:00;50690;8545;14604
2020-03-25T19:00:00;30399;5465;9733
2020-03-25T20:00:00;19415;3434;6108
2020-03-25T21:00:00;14186;2644;4702
2020-03-25T22:00:00;10072;1934;3265
2020-03-25T23:00:00;6216;1610;1970
2020-03-26T00:00:00;4946;841;1593
2020-03-26T01:00:00;2148;500;702
2020-03-26T02:00:00;1614;316;521
2020-03-26T03:00:00;1944;550;471
2020-03-26T04:00:00;3763;1204;616
2020-03-26T05:00:00;14620;5982;1458
2020-03-26T06:00:00;47639;22111;5022
2020-03-26T07:00:00;62408;26535;11512
2020-03-26T08:00:00;50603;17523;13659
2020-03-26T09:00:00;44017;11489;13549
2020-03-26T10:00:00;43822;9548;13882
2020-03-26T11:00:00;47801;9039;16169
2020-03-26T12:00:00;52418;9871;18921
2020-03-26T13:00:00;50494;10519;16277
2020-03-26T14:00:00;48422;8662;14758
2020-03-26T15:00:00;52680;8444;14281
2020-03-26T16:00:00;64060;9406;14934
2020-03-26T17:00:00;66906;10729;16432
2020-03-26T18:00:00;51468;8107;14972
2020-03-26T19:00:00;31092;5465;9861
2020-03-26T20:00:00;19501;3481;6158
2020-03-26T21:00:00;14505;2614;4834
2020-03-26T22:00:00;10659;1893;3505
2020-03-26T23:00:00;6636;1598;2303
2020-03-27T00:00:00;4962;864;1601
2020-03-27T01:00:00;2099;443;664
2020-03-27T02:00:00;1610;281;506
2020-03-27T03:00:00;2036;565;482
2020-03-27T04:00:00;3810;1269;665
2020-03-27T05:00:00;14551;5801;1621
2020-03-27T06:00:00;45032;20685;4796
2020-03-27T07:00:00;58826;24904;10731
2020-03-27T08:00:00;49293;16606;13637
2020-03-27T09:00:00;45201;11412;14099
2020-03-27T10:00:00;46048;9909;14399
2020-03-27T11:00:00;50811;9551;17204
2020-03-27T12:00:00;56375;10124;20460
2020-03-27T13:00:00;56880;11313;18227
2020-03-27T14:00:00;57414;9772;17443
2020-03-27T15:00:00;62341;10147;17202
2020-03-27T16:00:00;70196;11039;17561
2020-03-27T17:00:00;69359;11415;18602
2020-03-27T18:00:00;53238;9036;15728
2020-03-27T19:00:00;33344;6095;10292
2020-03-27T20:00:00;21151;3953;6344
2020-03-27T21:00:00;15177;2912;4536
2020-03-27T22:00:00;11850;2204;3705
2020-03-27T23:00:00;8149;2051;2646
2020-03-28T00:00:00;7397;1173;2445
2020-03-28T01:00:00;3208;660;1049
2020-03-28T02:00:00;2070;370;764
2020-03-28T03:00:00;2067;463;644
2020-03-28T04:00:00;2724;825;638
2020-03-28T05:00:00;5175;1701;863
2020-03-28T06:00:00;10534;3934;1665
2020-03-28T07:00:00;14131;3678;3171
2020-03-28T08:00:00;21081;4774;5780
2020-03-28T09:00:00;30688;5885;9188
2020-03-28T10:00:00;40150;7109;11855
2020-03-28T11:00:00;46445;8037;13756
2020-03-28T12:00:00;49077;8544;14601
2020-03-28T13:00:00;54009;9857;15681
2020-03-28T14:00:00;58165;10949;17623
2020-03-28T15:00:00;58795;12198;17958
2020-03-28T16:00:00;56128;12613;17316
2020-03-28T17:00:00;47871;11449;14879
2020-03-28T18:00:00;36237;8414;11595
2020-03-28T19:00:00;24065;5291;7847
2020-03-28T20:00:00;17161;3493;5365
2020-03-28T21:00:00;13845;2795;4204
2020-03-28T22:00:00;11674;2426;3506
2020-03-28T23:00:00;8665;2345;2700
2020-03-29T00:00:00;7884;1234;2409
2020-03-29T01:00:00;3330;628;1081
2020-03-29T03:00:00;2464;480;883
2020-03-29T04:00:00;2282;628;666
2020-03-29T05:00:00;3453;1074;683
2020-03-29T06:00:00;5510;2092;913
2020-03-29T07:00:00;5309;1295;1231
2020-03-29T08:00:00;7855;1616;2266
2020-03-29T09:00:00;13282;2326;4203
2020-03-29T10:00:00;18822;3453;5899
2020-03-29T11:00:00;23140;4288;6971
2020-03-29T12:00:00;24975;4610;7488
2020-03-29T13:00:00;28607;5520;8311
2020-03-29T14:00:00;30193;5945;8668
2020-03-29T15:00:00;29030;5808;8082
2020-03-29T16:00:00;28828;5823;8010
2020-03-29T17:00:00;25592;5160;7277
2020-03-29T18:00:00;20790;4213;5963
2020-03-29T19:00:00;17279;3339;5193
2020-03-29T20:00:00;14854;3110;4309
2020-03-29T21:00:00;12201;2715;3477
2020-03-29T22:00:00;9696;2075;2892
2020-03-29T23:00:00;5739;1437;1944
