Date,Temp,precip,Description
2020-03-23T00:00:00,3.4,0,Few clouds
2020-03-23T01:00:00,3,0,Clear Sky
2020-03-23T02:00:00,2.8,0,Clear Sky
2020-03-23T03:00:00,2.1,0,Clear Sky
2020-03-23T04:00:00,1.7,0,Clear Sky
2020-03-23T05:00:00,1.3,0,Clear Sky
2020-03-23T06:00:00,1.1,0,Clear Sky
2020-03-23T07:00:00,1.4,0,Clear Sky
2020-03-23T08:00:00,1.7,0,Clear Sky
2020-03-23T09:00:00,2.1,0,Clear Sky
2020-03-23T10:00:00,2.8,0,Clear Sky
2020-03-23T11:00:00,4,0,Clear Sky
2020-03-23T12:00:00,4.6,0,Clear Sky
2020-03-23T13:00:00,5,0,Clear Sky
2020-03-23T14:00:00,6.3,0,Clear Sky
2020-03-23T15:00:00,6.5,0,Clear Sky
2020-03-23T16:00:00,6.8,0,Clear Sky
2020-03-23T17:00:00,7.3,0,Clear Sky
2020-03-23T18:00:00,6.3,0,Clear Sky
2020-03-23T19:00:00,5.6,0,Clear Sky
2020-03-23T20:00:00,5,0,Clear Sky
2020-03-23T21:00:00,4.1,0,Clear Sky
2020-03-23T22:00:00,3.1,0,Clear Sky
2020-03-23T23:00:00,2.2,0,Clear Sky
2020-03-24T00:00:00,1.4,0,Clear Sky
2020-03-24T01:00:00,0.8,0,Clear Sky
2020-03-24T02:00:00,0.1,0,Clear Sky
2020-03-24T03:00:00,-0.4,0,Clear Sky
2020-03-24T04:00:00,-0.8,0,Clear Sky
2020-03-24T05:00:00,-1,0,Clear Sky
2020-03-24T06:00:00,-1.3,0,Clear Sky
2020-03-24T07:00:00,-0.8,0,Clear Sky
2020-03-24T08:00:00,0.2,0,Clear Sky
2020-03-24T09:00:00,2.2,0,Clear Sky
2020-03-24T10:00:00,3.1,0,Clear Sky
2020-03-24T11:00:00,3.4,0,Clear Sky
2020-03-24T12:00:00,4.4,0,Clear Sky
2020-03-24T13:00:00,6,0,Clear Sky
2020-03-24T14:00:00,6.8,0,Clear Sky
2020-03-24T15:00:00,7.6,0,Clear Sky
2020-03-24T16:00:00,8.6,0,Few clouds
2020-03-24T17:00:00,8.2,0,Few clouds
2020-03-24T18:00:00,6.9,0,Clear Sky
2020-03-24T19:00:00,6,0,Clear Sky
2020-03-24T20:00:00,5,0,Clear Sky
2020-03-24T21:00:00,3.9,0,Clear Sky
2020-03-24T22:00:00,3.3,0,Clear Sky
2020-03-24T23:00:00,2.7,0,Clear Sky
2020-03-25T00:00:00,2,0,Clear Sky
2020-03-25T01:00:00,1.6,0,Clear Sky
2020-03-25T02:00:00,1.1,0,Clear Sky
2020-03-25T03:00:00,0.7,0,Clear Sky
2020-03-25T04:00:00,0.3,0,Clear Sky
2020-03-25T05:00:00,0,0,Clear Sky
2020-03-25T06:00:00,-0.3,0,Clear Sky
2020-03-25T07:00:00,0.5,0,Clear Sky
2020-03-25T08:00:00,1.7,0,Clear Sky
2020-03-25T09:00:00,3.4,0,Clear Sky
2020-03-25T10:00:00,3.5,0,Clear Sky
2020-03-25T11:00:00,4.3,0,Clear Sky
2020-03-25T12:00:00,5.2,0,Clear Sky
2020-03-25T13:00:00,7.6,0,Few clouds
2020-03-25T14:00:00,8.1,0,Scattered clouds
2020-03-25T15:00:00,8.2,0,Broken clouds
2020-03-25T16:00:00,8,0,Broken clouds
2020-03-25T17:00:00,6.9,0,Broken clouds
2020-03-25T18:00:00,5.9,0,Broken clouds
2020-03-25T19:00:00,5.2,0,Broken clouds
2020-03-25T20:00:00,4.9,0,Broken clouds
2020-03-25T21:00:00,3.9,0,Broken clouds
2020-03-25T22:00:00,3.3,0,Broken clouds
2020-03-25T23:00:00,2.7,0,Broken clouds
2020-03-26T00:00:00,2.6,0,Overcast clouds
2020-03-26T01:00:00,1.6,0,Overcast clouds
2020-03-26T02:00:00,1.1,0,Overcast clouds
2020-03-26T03:00:00,0.8,0,Broken clouds
2020-03-26T04:00:00,0.5,0,Scattered clouds
2020-03-26T05:00:00,0.1,0,Few clouds
2020-03-26T06:00:00,0.6,0,Clear Sky
2020-03-26T07:00:00,2,0,Clear Sky
2020-03-26T08:00:00,2.9,0,Clear Sky
2020-03-26T09:00:00,3.5,0,Clear Sky
2020-03-26T10:00:00,4.3,0,Clear Sky
2020-03-26T11:00:00,4.8,0,Few clouds
2020-03-26T12:00:00,7.1,0,Broken clouds
2020-03-26T13:00:00,9,0,Overcast clouds
2020-03-26T14:00:00,9.7,0,Broken clouds
2020-03-26T15:00:00,10,0,Broken clouds
2020-03-26T16:00:00,8.9,0,Overcast clouds
2020-03-26T17:00:00,7.7,0,Broken clouds
2020-03-26T18:00:00,6.9,0,Broken clouds
2020-03-26T19:00:00,6.3,0,Overcast clouds
2020-03-26T20:00:00,5.3,0,Overcast clouds
2020-03-26T21:00:00,4.1,0,Scattered clouds
2020-03-26T22:00:00,3.4,0,Clear Sky
2020-03-26T23:00:00,3.2,0,Few clouds
2020-03-27T00:00:00,2.5,0,Few clouds
2020-03-27T01:00:00,2,0,Clear Sky
2020-03-27T02:00:00,1.8,0,Clear Sky
2020-03-27T03:00:00,1.4,0,Few clouds
2020-03-27T04:00:00,1.6,0,Broken clouds
2020-03-27T05:00:00,1.5,0,Broken clouds
2020-03-27T06:00:00,1.8,0,Broken clouds
2020-03-27T07:00:00,3.5,0,Broken clouds
2020-03-27T08:00:00,4.4,0,Broken clouds
2020-03-27T09:00:00,4.9,0,Overcast clouds
2020-03-27T10:00:00,5.2,0,Scattered clouds
2020-03-27T11:00:00,6.6,0,Clear Sky
2020-03-27T12:00:00,7.5,0,Scattered clouds
2020-03-27T13:00:00,8.6,0,Broken clouds
2020-03-27T14:00:00,9.2,0,Overcast clouds
2020-03-27T15:00:00,9.8,0,Overcast clouds
2020-03-27T16:00:00,10.4,0,Overcast clouds
2020-03-27T17:00:00,9.8,0,Overcast clouds
2020-03-27T18:00:00,8.8,0,Overcast clouds
2020-03-27T19:00:00,8.1,0,Overcast clouds
2020-03-27T20:00:00,8.8,0,Overcast clouds
2020-03-27T21:00:00,7.4,0,Broken clouds
2020-03-27T22:00:00,7,0,Scattered clouds
2020-03-27T23:00:00,6.5,0,Broken clouds
2020-03-28T00:00:00,6.1,0,Broken clouds
2020-03-28T01:00:00,5.3,0,Broken clouds
2020-03-28T02:00:00,4.9,0,Broken clouds
2020-03-28T03:00:00,4.9,0,Overcast clouds
2020-03-28T04:00:00,4.6,0,Overcast clouds
2020-03-28T05:00:00,4.5,0,Scattered clouds
2020-03-28T06:00:00,4.6,0,Scattered clouds
2020-03-28T07:00:00,6.6,0,Broken clouds
2020-03-28T08:00:00,7.4,0,Overcast clouds
2020-03-28T09:00:00,8.1,0,Overcast clouds
2020-03-28T10:00:00,9.1,0,Broken clouds
2020-03-28T11:00:00,10.4,0,Broken clouds
2020-03-28T12:00:00,11,0,Scattered clouds
2020-03-28T13:00:00,12.8,0,Scattered clouds
2020-03-28T14:00:00,14.1,0,Scattered clouds
2020-03-28T15:00:00,14.9,0,Scattered clouds
2020-03-28T16:00:00,16.4,0,Broken clouds
2020-03-28T17:00:00,13.4,0,Broken clouds
2020-03-28T18:00:00,14.4,0,Broken clouds
2020-03-28T19:00:00,13.2,0,Broken clouds
2020-03-28T20:00:00,13.6,0,Scattered clouds
2020-03-28T21:00:00,13.1,0,Scattered clouds
2020-03-28T22:00:00,12.4,0,Scattered clouds
2020-03-28T23:00:00,11.9,0,Scattered clouds
2020-03-29T00:00:00,11.1,0,Scattered clouds
2020-03-29T01:00:00,11.2,0,Scattered clouds
2020-03-29T02:00:00,10,0,Few clouds
2020-03-29T03:00:00,9.9,0,Scattered clouds
2020-03-29T04:00:00,9.8,0,Scattered clouds
2020-03-29T05:00:00,9.5,0,Scattered clouds
2020-03-29T06:00:00,9.5,0,Scattered clouds
2020-03-29T07:00:00,9.8,0,Scattered clouds
2020-03-29T08:00:00,10.4,0,Scattered clouds
2020-03-29T09:00:00,11.1,0,Scattered clouds
2020-03-29T10:00:00,11.6,0,Scattered clouds
2020-03-29T11:00:00,12,0,Broken clouds
2020-03-29T12:00:00,13.9,0,Broken clouds
2020-03-29T13:00:00,13.7,0,Overcast clouds
2020-03-29T14:00:00,11.4,0,Overcast clouds
2020-03-29T15:00:00,9.1,0,Overcast clouds
2020-03-29T16:00:00,7.7,0,Overcast clouds
2020-03-29T17:00:00,5.9,0,Overcast clouds
2020-03-29T18:00:00,4.1,0,Overcast clouds
2020-03-29T19:00:00,3.7,0,Overcast clouds
2020-03-29T20:00:00,3.7,0,Overcast clouds
2020-03-29T21:00:00,3.5,0,Overcast clouds
2020-03-29T22:00:00,3.2,0,Overcast clouds
2020-03-29T23:00:00,3.4,0,Overcast clouds
