tileId,score,time
43363817,49,2019-03-25T00:00
43363817,68,2019-03-25T01:00
43363817,70,2019-03-25T02:00
43363817,70,2019-03-25T03:00
43363817,70,2019-03-25T04:00
43363817,71,2019-03-25T05:00
43363817,75,2019-03-25T06:00
43363817,95,2019-03-25T07:00
43363817,113,2019-03-25T08:00
43363817,128,2019-03-25T09:00
43363817,133,2019-03-25T10:00
43363817,130,2019-03-25T11:00
43363817,130,2019-03-25T12:00
43363817,138,2019-03-25T13:00
43363817,142,2019-03-25T14:00
43363817,136,2019-03-25T15:00
43363817,123,2019-03-25T16:00
43363817,105,2019-03-25T17:00
43363817,90,2019-03-25T18:00
43363817,89,2019-03-25T19:00
43363817,85,2019-03-25T20:00
43363817,81,2019-03-25T21:00
43363817,74,2019-03-25T22:00
43363817,51,2019-03-25T23:00
43363817,48,2019-03-26T00:00
43363817,64,2019-03-26T01:00
43363817,68,2019-03-26T02:00
43363817,69,2019-03-26T03:00
43363817,69,2019-03-26T04:00
43363817,68,2019-03-26T05:00
43363817,73,2019-03-26T06:00
43363817,87,2019-03-26T07:00
43363817,106,2019-03-26T08:00
43363817,116,2019-03-26T09:00
43363817,126,2019-03-26T10:00
43363817,134,2019-03-26T11:00
43363817,140,2019-03-26T12:00
43363817,144,2019-03-26T13:00
43363817,142,2019-03-26T14:00
43363817,138,2019-03-26T15:00
43363817,133,2019-03-26T16:00
43363817,116,2019-03-26T17:00
43363817,101,2019-03-26T18:00
43363817,103,2019-03-26T19:00
43363817,103,2019-03-26T20:00
43363817,97,2019-03-26T21:00
43363817,91,2019-03-26T22:00
43363817,64,2019-03-26T23:00
43363817,62,2019-03-27T00:00
43363817,81,2019-03-27T01:00
43363817,84,2019-03-27T02:00
43363817,84,2019-03-27T03:00
43363817,85,2019-03-27T04:00
43363817,85,2019-03-27T05:00
43363817,89,2019-03-27T06:00
43363817,106,2019-03-27T07:00
43363817,127,2019-03-27T08:00
43363817,137,2019-03-27T09:00
43363817,142,2019-03-27T10:00
43363817,140,2019-03-27T11:00
43363817,138,2019-03-27T12:00
43363817,141,2019-03-27T13:00
43363817,140,2019-03-27T14:00
43363817,139,2019-03-27T15:00
43363817,132,2019-03-27T16:00
43363817,130,2019-03-27T17:00
43363817,116,2019-03-27T18:00
43363817,114,2019-03-27T19:00
43363817,113,2019-03-27T20:00
43363817,108,2019-03-27T21:00
43363817,97,2019-03-27T22:00
43363817,66,2019-03-27T23:00
43363817,60,2019-03-28T00:00
43363817,80,2019-03-28T01:00
43363817,84,2019-03-28T02:00
43363817,84,2019-03-28T03:00
43363817,84,2019-03-28T04:00
43363817,84,2019-03-28T05:00
43363817,89,2019-03-28T06:00
43363817,107,2019-03-28T07:00
43363817,126,2019-03-28T08:00
43363817,134,2019-03-28T09:00
43363817,142,2019-03-28T10:00
43363817,142,2019-03-28T11:00
43363817,135,2019-03-28T12:00
43363817,144,2019-03-28T13:00
43363817,139,2019-03-28T14:00
43363817,132,2019-03-28T15:00
43363817,130,2019-03-28T16:00
43363817,109,2019-03-28T17:00
43363817,98,2019-03-28T18:00
43363817,100,2019-03-28T19:00
43363817,99,2019-03-28T20:00
43363817,91,2019-03-28T21:00
43363817,83,2019-03-28T22:00
43363817,62,2019-03-28T23:00
43363817,56,2019-03-29T00:00
43363817,75,2019-03-29T01:00
43363817,78,2019-03-29T02:00
43363817,80,2019-03-29T03:00
43363817,80,2019-03-29T04:00
43363817,79,2019-03-29T05:00
43363817,84,2019-03-29T06:00
43363817,99,2019-03-29T07:00
43363817,115,2019-03-29T08:00
43363817,126,2019-03-29T09:00
43363817,132,2019-03-29T10:00
43363817,131,2019-03-29T11:00
43363817,128,2019-03-29T12:00
43363817,124,2019-03-29T13:00
43363817,122,2019-03-29T14:00
43363817,116,2019-03-29T15:00
43363817,105,2019-03-29T16:00
43363817,100,2019-03-29T17:00
43363817,98,2019-03-29T18:00
43363817,97,2019-03-29T19:00
43363817,96,2019-03-29T20:00
43363817,95,2019-03-29T21:00
43363817,90,2019-03-29T22:00
43363817,67,2019-03-29T23:00
43363817,61,2019-03-30T00:00
43363817,76,2019-03-30T01:00
43363817,78,2019-03-30T02:00
43363817,80,2019-03-30T03:00
43363817,80,2019-03-30T04:00
43363817,80,2019-03-30T05:00
43363817,82,2019-03-30T06:00
43363817,83,2019-03-30T07:00
43363817,84,2019-03-30T08:00
43363817,89,2019-03-30T09:00
43363817,87,2019-03-30T10:00
43363817,88,2019-03-30T11:00
43363817,86,2019-03-30T12:00
43363817,86,2019-03-30T13:00
43363817,84,2019-03-30T14:00
43363817,79,2019-03-30T15:00
43363817,83,2019-03-30T16:00
43363817,86,2019-03-30T17:00
43363817,88,2019-03-30T18:00
43363817,90,2019-03-30T19:00
43363817,91,2019-03-30T20:00
43363817,91,2019-03-30T21:00
43363817,86,2019-03-30T22:00
43363817,63,2019-03-30T23:00
43363817,51,2020-03-23T00:00
43363817,73,2020-03-23T01:00
43363817,74,2020-03-23T02:00
43363817,74,2020-03-23T03:00
43363817,75,2020-03-23T04:00
43363817,75,2020-03-23T05:00
43363817,78,2020-03-23T06:00
43363817,85,2020-03-23T07:00
43363817,93,2020-03-23T08:00
43363817,95,2020-03-23T09:00
43363817,97,2020-03-23T10:00
43363817,100,2020-03-23T11:00
43363817,100,2020-03-23T12:00
43363817,97,2020-03-23T13:00
43363817,96,2020-03-23T14:00
43363817,93,2020-03-23T15:00
43363817,91,2020-03-23T16:00
43363817,87,2020-03-23T17:00
43363817,86,2020-03-23T18:00
43363817,86,2020-03-23T19:00
43363817,87,2020-03-23T20:00
43363817,86,2020-03-23T21:00
43363817,80,2020-03-23T22:00
43363817,55,2020-03-23T23:00
43363817,51,2020-03-24T00:00
